create:white_sail | minecraft:crafting_shapeless | create:white_sail minecraft:crafting_shapeless simulated:white_symmetric_sail
simulated:crafting/green_nameplate_from_other_nameplate | minecraft:crafting_shapeless | c:dyes/green minecraft:crafting_shapeless simulated:green_nameplate simulated:nameplate_items
simulated:crafting/light_blue_nameplate_from_other_nameplate | minecraft:crafting_shapeless | c:dyes/light_blue minecraft:crafting_shapeless simulated:light_blue_nameplate simulated:nameplate_items
simulated:crafting/light_gray_nameplate_from_other_nameplate | minecraft:crafting_shapeless | c:dyes/light_gray minecraft:crafting_shapeless simulated:light_gray_nameplate simulated:nameplate_items
simulated:crafting/lime_nameplate_from_other_nameplate | minecraft:crafting_shapeless | c:dyes/lime minecraft:crafting_shapeless simulated:lime_nameplate simulated:nameplate_items
simulated:crafting/magenta_nameplate_from_other_nameplate | minecraft:crafting_shapeless | c:dyes/magenta minecraft:crafting_shapeless simulated:magenta_nameplate simulated:nameplate_items
simulated:crafting/orange_nameplate_from_other_nameplate | minecraft:crafting_shapeless | c:dyes/orange minecraft:crafting_shapeless simulated:nameplate_items simulated:orange_nameplate
simulated:crafting/pink_nameplate_from_other_nameplate | minecraft:crafting_shapeless | c:dyes/pink minecraft:crafting_shapeless simulated:nameplate_items simulated:pink_nameplate
simulated:crafting/portable_engine_dyeing | simulated:portable_engine_dyeing | simulated:portable_engine_dyeing
simulated:crafting/purple_nameplate_from_other_nameplate | minecraft:crafting_shapeless | c:dyes/purple minecraft:crafting_shapeless simulated:nameplate_items simulated:purple_nameplate
simulated:crafting/red_nameplate_from_other_nameplate | minecraft:crafting_shapeless | c:dyes/red minecraft:crafting_shapeless simulated:nameplate_items simulated:red_nameplate
simulated:crafting/white_nameplate_from_other_nameplate | minecraft:crafting_shapeless | c:dyes/white minecraft:crafting_shapeless simulated:nameplate_items simulated:white_nameplate
simulated:crafting/yellow_nameplate_from_other_nameplate | minecraft:crafting_shapeless | c:dyes/yellow minecraft:crafting_shapeless simulated:nameplate_items simulated:yellow_nameplate
simulated:cyan_handle | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:cyan_dye simulated:cyan_handle simulated:iron_handle
simulated:directional_gearshift | minecraft:crafting_shapeless | create:andesite_casing create:cogwheel create:shaft minecraft:crafting_shapeless minecraft:redstone_torch simulated:directional_gearshift
simulated:directional_linked_receiver | minecraft:crafting_shaped | create:brass_casing create:iron_sheet create:transmitter minecraft:crafting_shaped simulated:directional_linked_receiver
simulated:filling/honey_glue | create:filling | create:filling create:honey create:iron_sheet neoforge:single simulated:honey_glue
simulated:gimbal_sensor | minecraft:crafting_shaped | create:brass_casing minecraft:compass minecraft:crafting_shaped simulated:gimbal_sensor simulated:gyroscopic_mechanism
simulated:gray_handle | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:gray_dye simulated:gray_handle simulated:iron_handle
simulated:green_handle | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:green_dye simulated:green_handle simulated:iron_handle
simulated:handle_undye | minecraft:crafting_shapeless | minecraft:crafting_shapeless simulated:handle_variants simulated:iron_handle
simulated:iron_handle | minecraft:crafting_shaped | create:andesite_alloy minecraft:crafting_shaped minecraft:iron_nugget simulated:iron_handle
simulated:laser_pointer | minecraft:crafting_shaped | create:andesite_casing minecraft:crafting_shaped minecraft:redstone_torch simulated:laser_point_lens simulated:laser_pointer
simulated:laser_sensor | minecraft:crafting_shaped | create:andesite_casing minecraft:crafting_shaped minecraft:tinted_glass simulated:laser_point_lens simulated:laser_sensor
simulated:light_blue_handle | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:light_blue_dye simulated:iron_handle simulated:light_blue_handle
simulated:light_gray_handle | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:light_gray_dye simulated:iron_handle simulated:light_gray_handle
simulated:lime_handle | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:lime_dye simulated:iron_handle simulated:lime_handle
simulated:magenta_handle | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:magenta_dye simulated:iron_handle simulated:magenta_handle
simulated:mechanical_crafting/docking_connector | create:mechanical_crafting | create:brass_casing create:brass_sheet create:chute create:electron_tube create:iron_sheet create:mechanical_crafting minecraft:piston simulated:docking_connector
simulated:mechanical_crafting/linked_typewriter | create:mechanical_crafting | create:golden_sheet create:mechanical_crafting create:precision_mechanism create:transmitter minecraft:buttons simulated:linked_typewriter
simulated:mechanical_crafting/plunger_launcher | create:mechanical_crafting | create:andesite_alloy create:fluid_pipe create:mechanical_crafting create:precision_mechanism minecraft:copper_ingot minecraft:slime_ball simulated:plunger_launcher simulated:rope_coupling
simulated:modulating_linked_receiver | minecraft:crafting_shaped | create:brass_casing create:golden_sheet create:transmitter minecraft:crafting_shaped simulated:modulating_linked_receiver
simulated:navigation_table | minecraft:crafting_shaped | create:brass_casing create:brass_sheet create:precision_mechanism minecraft:crafting_shaped simulated:navigation_table
simulated:optical_sensor | minecraft:crafting_shaped | create:brass_casing create:electron_tube minecraft:amethyst_shard minecraft:crafting_shaped simulated:optical_sensor
simulated:orange_handle | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:orange_dye simulated:iron_handle simulated:orange_handle
simulated:physics_assembler | minecraft:crafting_shaped | create:andesite_alloy create:andesite_casing minecraft:crafting_shaped minecraft:lever simulated:physics_assembler
simulated:pink_handle | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:pink_dye simulated:iron_handle simulated:pink_handle
simulated:purple_handle | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:purple_dye simulated:iron_handle simulated:purple_handle
simulated:red_handle | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:red_dye simulated:iron_handle simulated:red_handle
simulated:red_portable_engine | minecraft:crafting_shaped | create:iron_sheet minecraft:blast_furnace minecraft:crafting_shaped simulated:engine_assembly simulated:red_portable_engine
simulated:redstone_accumulator | minecraft:crafting_shaped | c:dusts/redstone c:stones create:brass_sheet create:polished_rose_quartz minecraft:crafting_shaped minecraft:redstone_torch simulated:redstone_accumulator
simulated:redstone_inductor | minecraft:crafting_shaped | c:dusts/redstone c:stones create:brass_sheet create:copper_sheet minecraft:crafting_shaped minecraft:redstone_torch simulated:redstone_inductor
simulated:redstone_magnet | minecraft:crafting_shapeless | create:copper_sheet create:industrial_iron_block minecraft:crafting_shapeless minecraft:redstone simulated:redstone_magnet
simulated:rope_connector | minecraft:crafting_shaped | create:industrial_iron_block create:iron_sheet minecraft:crafting_shaped simulated:rope_connector
simulated:rope_coupling | minecraft:crafting_shaped | c:nuggets/iron c:strings minecraft:crafting_shaped simulated:rope_coupling
simulated:rope_winch | minecraft:crafting_shaped | create:industrial_iron_block create:iron_sheet create:shaft minecraft:crafting_shaped simulated:rope_winch
simulated:sequenced_assembly/engine_assembly | create:sequenced_assembly | create:cutting create:industrial_iron_block create:iron_sheet create:pressing create:sequenced_assembly minecraft:iron_bars minecraft:iron_helmet minecraft:iron_nugget simulated:engine_assembly simulated:incomplete_engine_assembly
simulated:sequenced_assembly/gyroscopic_mechanism | create:sequenced_assembly | create:andesite_alloy create:brass_nugget create:cogwheel create:crushed_raw_iron create:deploying create:iron_sheet create:sequenced_assembly create:shaft minecraft:compass simulated:gyroscopic_mechanism simulated:incomplete_gyroscopic_mechanism
simulated:spring | minecraft:crafting_shaped | create:iron_sheet minecraft:crafting_shaped minecraft:iron_nugget simulated:spring
simulated:steering_wheel | minecraft:crafting_shaped | create:andesite_casing create:large_cogwheel create:shaft minecraft:crafting_shaped simulated:steering_wheel
simulated:swivel_bearing | minecraft:crafting_shaped | create:cogwheel create:industrial_iron_block minecraft:crafting_shaped minecraft:wooden_slabs simulated:swivel_bearing
simulated:throttle_lever | minecraft:crafting_shaped | create:brass_casing minecraft:crafting_shaped minecraft:stick simulated:throttle_lever
simulated:torsion_spring | minecraft:crafting_shaped | create:andesite_casing create:shaft minecraft:crafting_shaped simulated:spring simulated:torsion_spring
simulated:velocity_sensor | minecraft:crafting_shaped | create:andesite_casing create:propeller minecraft:barrel minecraft:crafting_shaped simulated:velocity_sensor
simulated:white_handle | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:white_dye simulated:iron_handle simulated:white_handle
simulated:white_nameplate | minecraft:crafting_shapeless | create:andesite_alloy minecraft:crafting_shapeless minecraft:paper minecraft:stick simulated:white_nameplate
simulated:white_symmetric_sail | minecraft:crafting_shapeless | create:white_sail minecraft:crafting_shapeless simulated:white_symmetric_sail
simulated:yellow_handle | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:yellow_dye simulated:iron_handle simulated:yellow_handle
